prod_id,nom_prod,prix,qteDispo,qteVendu,portabilite,constructeur
3001,Nintendo Switch,299.99,300,2,Hybride,Nintendo
3002,Nintendo Switch Lite,199.99,200,1,Portable,Nintendo
3003,Nintendo 3DS,139.99,0,2,Portable,Nintendo
3004,New Nintendo 3DS,169.99,30,1,Portable,Nintendo
3005,PlayStation 5,499.99,0,3,Salon,Sony
3006,PlayStation 4,249.99,300,2,Salon,Sony
3007,PlayStation 3,119.99,10,1,Salon,Sony
3008,PlayStation Vita,149.99,12,1,Portable,Sony
3009,Xbox One,249.99,1,1,Salon,Microsoft
3010,Xbox 360,199.99,0,1,Salon,Microsoft
